./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-ubuntu_20_10_64bit-g++_10_O3-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.7089961e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       444          1          8'963 0.99994450
       445          1          9'000 0.99994500
       446          1          9'055 0.99994550
       447          1          9'092 0.99994600
       448          2          9'148 0.99994700
       449          1          9'222 0.99994750
       450          1          9'223 0.99994800
       451          1          9'259 0.99994850
       452          1          9'370 0.99994900
       453          1          9'463 0.99994950
       454          1          9'611 0.99995000
       455          1          9'666 0.99995050
       456          1          9'685 0.99995100
       457          1          9'704 0.99995150
       458          1          9'722 0.99995200
       459          1          9'740 0.99995250
       460          1          9'759 0.99995300
       461          1          9'777 0.99995350
       462          1          9'908 0.99995400
       463          1          9'944 0.99995450
       464          1         10'037 0.99995500
       465          1         10'055 0.99995550
       466          1         10'056 0.99995600
       467          1         10'074 0.99995650
       468          1         10'148 0.99995700
       469          1         10'167 0.99995750
       470          1         10'389 0.99995800
       471          1         10'444 0.99995850
       472          1         10'500 0.99995900
       473          1         10'611 0.99995950
       474          1         10'630 0.99996000
       475          1         10'944 0.99996050
       476          1         10'981 0.99996100
       477          2         10'982 0.99996200
       478          1         11'000 0.99996250
       479          1         11'055 0.99996300
       480          1         11'056 0.99996350
       481          1         11'074 0.99996400
       482          1         11'278 0.99996450
       483          1         11'370 0.99996500
       484          2         11'426 0.99996600
       485          1         11'444 0.99996650
       486          2         11'518 0.99996750
       487          1         11'537 0.99996800
       488          2         11'630 0.99996900
       489          1         11'722 0.99996950
       490          1         11'759 0.99997000
       491          1         11'796 0.99997050
       492          1         11'815 0.99997100
       493          2         11'907 0.99997200
       494          1         11'908 0.99997250
       495          1         11'963 0.99997300
       496          1         12'018 0.99997350
       497          1         12'074 0.99997400
       498          1         12'092 0.99997450
       499          1         12'111 0.99997500
       500          1         12'222 0.99997550
       501          1         12'315 0.99997600
       502          1         12'370 0.99997650
       503          2         12'407 0.99997750
       504          1         12'425 0.99997800
