./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_main_n247756_348c41d1815d_32bit-g++_11_O3lto-libc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.24


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.9800668e+12 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :         16'700 ns
(with min duration still included)

target with min duration subtracted  :         16'492 ns

Other information for reference:

small scale duration variability     :            167 ns
       517          1         16'750 0.99992050
       518          1         16'791 0.99992100
       519          1         16'832 0.99992150
       520          3         16'833 0.99992300
       521          2         16'875 0.99992400
       522          5         16'916 0.99992650
       523          2         16'999 0.99992750
       524          1         17'000 0.99992800
       525          2         17'041 0.99992900
       526          1         17'082 0.99992950
       527          2         17'083 0.99993050
       528          1         17'124 0.99993100
       529          1         17'125 0.99993150
       530          3         17'166 0.99993300
       531          1         17'208 0.99993350
       532          1         17'249 0.99993400
       533          1         17'291 0.99993450
       534          3         17'374 0.99993600
       535          2         17'375 0.99993700
       536          1         17'416 0.99993750
       537          4         17'458 0.99993950
       538          2         17'541 0.99994050
       539          1         17'583 0.99994100
       540          3         17'624 0.99994250
       541          1         17'625 0.99994300
       542          1         17'666 0.99994350
       543          2         17'708 0.99994450
       544          1         17'749 0.99994500
       545          1         17'750 0.99994550
       546          2         17'832 0.99994650
       547          2         17'874 0.99994750
       548          1         17'916 0.99994800
       549          1         17'957 0.99994850
       550          1         17'958 0.99994900
       551          1         18'041 0.99994950
       552          1         18'125 0.99995000
       553          3         18'249 0.99995150
       554          2         18'291 0.99995250
       555          2         18'416 0.99995350
       556          1         18'457 0.99995400
       557          2         18'458 0.99995500
       558          2         18'541 0.99995600
       559          1         18'583 0.99995650
       560          1         18'708 0.99995700
       561          1         18'750 0.99995750
       562          2         18'832 0.99995850
       563          1         18'833 0.99995900
       564          1         18'875 0.99995950
       565          1         18'916 0.99996000
       566          3         19'041 0.99996150
       567          2         19'083 0.99996250
       568          2         19'208 0.99996350
       569          2         19'249 0.99996450
       570          1         19'333 0.99996500
       571          1         19'458 0.99996550
       572          1         19'749 0.99996600
       573          1         19'874 0.99996650
       574          1         19'875 0.99996700
       575          1         20'041 0.99996750
       576          1         20'082 0.99996800
       577          1         20'124 0.99996850
       578          1         20'458 0.99996900
       579          1         20'708 0.99996950
       580          1         20'916 0.99997000
       581          1         21'124 0.99997050
       582          1         21'249 0.99997100
       583          1         21'291 0.99997150
       584          1         21'583 0.99997200
       585          1         21'707 0.99997250
       586          1         21'791 0.99997300
       587          1         22'166 0.99997350
       588          1         22'291 0.99997400
       589          1         22'499 0.99997450
       590          1         22'541 0.99997500
       591          1         22'790 0.99997550
       592          1         23'083 0.99997600
       593          1         23'249 0.99997650
       594          1         23'375 0.99997700
       595          1         23'416 0.99997750
       596          1         23'790 0.99997800
       597          1         23'916 0.99997850
       598          1         23'958 0.99997900
       599          1         24'041 0.99997950
       600          1         24'499 0.99998000
       601          1         24'749 0.99998050
       602          1         24'874 0.99998100
       603          1         24'957 0.99998150
       604          1         25'749 0.99998200
       605          1         25'791 0.99998250
       606          1         25'874 0.99998300
       607          2         25'957 0.99998400
       608          1         26'207 0.99998450
       609          1         27'166 0.99998500
       610          1         27'457 0.99998550
       611          1         27'916 0.99998600
       612          1         27'999 0.99998650
       613          1         28'583 0.99998700
       614          1         28'998 0.99998750
       615          1         29'207 0.99998800
       616          1         30'416 0.99998850
       617          1         30'666 0.99998900
       618          1         31'791 0.99998950
       619          1         33'499 0.99999000
       620          1         36'498 0.99999050
       621          1         36'499 0.99999100
       622          1         40'082 0.99999150
       623          1         43'165 0.99999200
       624          1         56'748 0.99999250
       625          1         72'664 0.99999300
       626          1         75'748 0.99999350
       627          1         76'372 0.99999400
       628          1         76'705 0.99999450
       629          1         76'914 0.99999500
       630          1         77'080 0.99999550
       631          1         77'081 0.99999600
       632          1         77'414 0.99999650
       633          1         78'289 0.99999700
       634          1         80'497 0.99999750
       635          1         82'039 0.99999800
       636          1         89'622 0.99999850
       637          1        103'746 0.99999900
       638          1        108'163 0.99999950
       639          1        109'162 1.00000000

Other threads (parallel, if any):

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'992 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        385'612 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'992 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        601'354 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'992 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        280'157 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'992 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        264'033 ns
(with min duration still included)


Overall:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 10'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :         16'700 ns
(with min duration still included)

target with min duration subtracted  :         16'492 ns

Other information for reference:

small scale duration variability     :            167 ns

largest observed duration            :        601'354 ns
(with min duration still included)

